date,VJY0001M Index,VJY0003M Index,VJY0006M Index,TI0001M Index,TI0003M Index,TI0005M Index,VUS0001M Index,VUS0003M Index,VUS0006M Index,GJGB1 Index,GJGB2 Index,GJGB5 Index,GJGB10 Index,GJGB20 Index,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
2000-01-31,0.11567,0.16969,0.2598,0.095,0.13429,0.16357,,,,0.13,0.34,0.955,1.735,2.24,0,0,0,0,0,0,0,0,0,0,0
2000-02-29,0.10703,0.17179,0.27654,0.125,0.135,0.15929,,,,0.165,0.38,1.14,1.852,2.355,1,0,0,0,0,0,0,0,0,0,0
2000-03-31,0.107,0.17326,0.31053,0.11857,0.14071,0.16643,,,,0.28,0.465,1.145,1.781,2.16,0,1,0,0,0,0,0,0,0,0,0
2000-04-28,0.10521,0.17015,0.34374,0.09571,0.12714,0.17929,,,,0.21,0.375,1.08,1.764,2.15,0,0,1,0,0,0,0,0,0,0,0
2000-05-31,0.10111,0.20383,0.37754,0.08929,0.10929,0.15786,,,,0.21,0.4,1.03,1.665,2.04,0,0,0,1,0,0,0,0,0,0,0
2000-06-30,0.09722,0.26916,0.41058,0.15429,0.23,0.25857,,,,0.34,0.52,1.11,1.761,2.1,0,0,0,0,1,0,0,0,0,0,0
2000-07-31,0.21579,0.34091,0.44035,0.13571,0.22429,0.29286,,,,0.27,0.4,1.02,1.683,2.17,0,0,0,0,0,1,0,0,0,0,0
2000-08-31,0.31881,0.37174,0.4512,0.40786,0.41,0.44429,,,,0.475,0.64,1.255,1.887,2.355,0,0,0,0,0,0,1,0,0,0,0
2000-09-29,0.32022,0.36341,0.42457,0.36571,0.54,0.53571,,,,0.48,0.61,1.17,1.847,2.475,0,0,0,0,0,0,0,1,0,0,0
2000-10-31,0.31825,0.35658,0.38275,0.34286,0.54714,0.55429,,,,0.41,0.5,1.07,1.813,2.5,0,0,0,0,0,0,0,0,1,0,0
2000-11-30,0.32118,0.35345,0.33605,0.68214,0.59071,0.58571,,,,0.43,0.48,0.94,1.622,2.155,0,0,0,0,0,0,0,0,0,1,0
2000-12-29,0.32014,0.3159,0.29276,0.54357,0.58643,0.58,,,,0.415,0.47,0.96,1.646,2.16,0,0,0,0,0,0,0,0,0,0,1
2001-01-31,0.32884,0.2478,0.2483,0.42786,0.50786,0.50429,,,,0.31,0.36,0.805,1.498,1.945,0,0,0,0,0,0,0,0,0,0,0
2001-02-28,0.2081,0.17879,0.20977,0.39643,0.37571,0.36643,,,,0.195,0.225,0.63,1.35,1.795,1,0,0,0,0,0,0,0,0,0,0
2001-03-30,0.1191,0.1492,0.19405,0.11357,0.11714,0.11714,,,,0.068,0.136,0.543,1.278,1.729,0,1,0,0,0,0,0,0,0,0,0
2001-04-30,0.10646,0.14914,0.19243,0.07692,0.09462,0.10385,,,,0.025,0.104,0.519,1.339,1.944,0,0,1,0,0,0,0,0,0,0,0
2001-05-31,0.10598,0.15185,0.19606,0.06308,0.08,0.09,,,,0.01,0.06,0.389,1.245,1.871,0,0,0,1,0,0,0,0,0,0,0
2001-06-29,0.10645,0.14811,0.20186,0.06846,0.08846,0.09,,,,0.01,0.059,0.365,1.194,1.811,0,0,0,0,1,0,0,0,0,0,0
2001-07-31,0.1004,0.13842,0.20572,0.06538,0.09,0.10154,,,,0.016,0.092,0.411,1.339,2.04,0,0,0,0,0,1,0,0,0,0,0
2001-08-31,0.0942,0.13346,0.20623,0.07154,0.07154,0.08846,,,,0.044,0.087,0.465,1.379,2.011,0,0,0,0,0,0,1,0,0,0,0
2001-09-28,0.09211,0.1316,0.20475,0.06077,0.08308,0.08385,,,,0.026,0.087,0.509,1.415,2.029,0,0,0,0,0,0,0,1,0,0,0
2001-10-31,0.09168,0.1271,0.19898,0.06077,0.08154,0.09231,,,,0.044,0.124,0.474,1.315,1.978,0,0,0,0,0,0,0,0,1,0,0
2001-11-30,0.09131,0.12205,0.19299,0.09077,0.08308,0.09846,,,,0.051,0.151,0.527,1.364,1.998,0,0,0,0,0,0,0,0,0,1,0
2001-12-31,0.09092,0.1219,0.18709,0.06923,0.10462,0.10154,,,,0.046,0.117,0.548,1.368,2.024,0,0,0,0,0,0,0,0,0,0,1
2002-01-31,0.09036,0.12225,0.18173,0.06167,0.1,0.1,,,,0.035,0.14,0.7,1.485,2.179,0,0,0,0,0,0,0,0,0,0,0
2002-02-28,0.09085,0.12234,0.17847,0.14917,0.14,0.13,,,,0.03,0.13,0.639,1.53,2.134,1,0,0,0,0,0,0,0,0,0,0
2002-03-29,0.09174,0.1223,0.17854,0.09917,0.11917,0.12083,,,,0.012,0.05,0.515,1.395,2.029,0,1,0,0,0,0,0,0,0,0,0
2002-04-30,0.09224,0.12247,0.17884,0.07167,0.09667,0.10917,,,,0.021,0.053,0.496,1.38,2.04,0,0,1,0,0,0,0,0,0,0,0
2002-05-31,0.09206,0.12228,0.17893,0.0625,0.08,0.0975,,,,0.022,0.074,0.48,1.394,2.019,0,0,0,1,0,0,0,0,0,0,0
2002-06-28,0.0922,0.12185,0.17903,0.0575,0.0925,0.0925,,,,0.02,0.069,0.414,1.32,1.954,0,0,0,0,1,0,0,0,0,0,0
2002-07-31,0.09091,0.12258,0.17899,0.05417,0.08833,0.10083,,,,0.021,0.043,0.409,1.318,1.97,0,0,0,0,0,1,0,0,0,0,0
2002-08-30,0.08835,0.1223,0.17889,0.0725,0.07583,0.09,,,,0.01,0.03,0.294,1.185,1.822,0,0,0,0,0,0,1,0,0,0,0
2002-09-30,0.09003,0.1201,0.17871,0.05917,0.0825,0.08333,,,,0.02,0.06,0.344,1.186,1.829,0,0,0,0,0,0,0,1,0,0,0
2002-10-31,0.08467,0.11357,0.17828,0.05667,0.08,0.09917,,,,0.02,0.045,0.269,0.994,1.615,0,0,0,0,0,0,0,0,1,0,0
2002-11-29,0.08455,0.11031,0.17393,0.07833,0.07917,0.09917,,,,0.02,0.065,0.3,1.002,1.602,0,0,0,0,0,0,0,0,0,1,0
2002-12-31,0.0833,0.10912,0.1675,0.06083,0.09917,0.09917,,,,0.029,0.06,0.303,0.909,1.525,0,0,0,0,0,0,0,0,0,0,1
2003-01-31,0.07636,0.10723,0.15966,0.05917,0.09917,0.09917,,,,0.029,0.05,0.26,0.812,1.291,0,0,0,0,0,0,0,0,0,0,0
2003-02-28,0.06852,0.10733,0.15511,0.09083,0.09167,0.09167,,,,0.029,0.06,0.265,0.79,1.295,1,0,0,0,0,0,0,0,0,0,0
2003-03-31,0.06565,0.10474,0.15358,0.0625,0.08,0.08083,1.38357,,,0.04,0.07,0.25,0.709,1.119,0,1,0,0,0,0,0,0,0,0,0
2003-04-30,0.06457,0.10171,0.15214,0.06,0.07917,0.09,1.37222,,,0.024,0.059,0.219,0.615,0.924,0,0,1,0,0,0,0,0,0,0,0
